Comments,Label
اویس ربانی صاحب نے فرار کے لفظ پر شرارت سے کام لیا ہے جبکہ یاسین قادری صاحب نے کوئی گستاخی نہیں کی اور اس بات کو گستاخی بنا کر پیش کیا جا رہا ہے,offensive
فرار  اور  بھاگنے  میں فرق  کیا  ہے ؟,normal
ماشااللہ یاسین قادری صاحب ناصبی کا ایسا چھترول کیا ہے قیامت تک یاد رکھے گاناصبی,offensive
بھگوڑے کو افضل ماننے کا انجام بہت اچھا چھترول کیا ہے بھگوڑوں کو ماننے والوں کےلیے,offensive
"کافر ہے تو کرتا ہے شمشیر پہ بھروسہ
مومن ہے تو بے تیغ بھی لڑتا ہے سپاہی",offensive
"یسین قادری صاحب قرآن کی آیات کی ترجمہ کر رہا ہے اردو میں فرار کی اور اویس ربانی اور دوسرا اس کی ترجمہ سے روک رہا ہے ،، اویس اپکو ایسا نہیں کرنا چاہیے تھا قرآن نے جس کے متعلق جو کہا ہے صحیح کہا ہے قرآن سے بڑھ کر کوئی نہیں صحابہ میں",offensive
ذولفقار شاہ دو نمبر شخض ہے جو ابو سفیان جیسے طلقا کو کو اپنے سر کا تاج بنا رہا,offensive
یسین  رافضی خبیث ترین بندہ ہے صحابہ کرام علیھم الرضوان پر بکواس کر رہا ہے,offensive
علمی اعتبار سے یاسین کی چھترول ہو گئی سب سنی بھائیوں کو مبارک ہو,hate
منہاجی کی تاریخی چھترول,hate
رافضی ۔۔۔شیعہ کافر ھیں,hate
"آواز بن کرنا علمی خيانت ہے۔ ياسين قادری صاحب آیت اور روایت پڑھ رہا ہے۔

واہ جی 
بھگوڑے جنگ سے بھاگ رہے ہیں،  اور ناصبی کہہ رہا ہے یہ توہین ہے ""بھگوڑے اور فراری"" نہ کہو۔ بلکہ  "" تشریف لے گئے"" کہو۔!!!

واہ جی قرآن کے مقابلے میں ہٹ دھرمی۔!!",offensive
مزے کی بات یہ ہے کے علی کا بیٹا علی کے خلاف دلائل دے رہا ہے واہ اور جن کو وہ کافر کہ رہے ہیں وہ علی رضی اللہ تعالیٰ عنہ کی وکالت کر رہا ہے کمال ہے ۔,offensive
خارجی قران پڑھ کر مولا کائنات کو کافر قرار دیتے تھے رافضی بھی وہی کر رہا ہے,offensive
"نہ میں  وہابی  نہ  میں  بابوجی کے داعی  نہ  میں  بلا وجہ  کسی کو  مانوں  افضل  جنہیں   جو  آدھی ذندگی  سے  ذیادہ  کفر میں گزاری ہو اور  جنگوں میں سے  فراری ہو ۔
ہم تو مانے اس کو  جسنے  سب سے پہلے  اسلام لائی   اور  جہادوں میں  رہے تھے  ثابت قدم رہے ہو  ۔۔ اور بھی بہت کچھ ہیں  ۔",normal
ہمیشہ فرار والے ہی فرار ہوتے ہیں,normal
اہل بیت علیہم السلام کے علاوہ جن کو یہ افضل مانتے ہیں ان کا شجرہ خبیثہ تھا علامہ یاسین قادری حفظہ اللہ نے قران سے دلائل دیے رسول کی حدیث سے دلائل دیے اہل بیت کی قول سے دلائل دی تو پھر کیا بات رہ گئی ہے کہ یہ نہیں مانتے علامہ یاسین قادری کو خداوند تعالی اپنی حفظ و امان میں رکھے,offensive
"میں اویس ربانی سے یہ پوچھنا چاہتا ہوں کہ اتنی فضیلت فضائل سن کر حوالے کے ساتھ قرآن اور حدیث کی روشنی میں اپ کیا سمجھے مولا امام علی علیہ السلام ھی نبی اکرم صلی اللہ علیہ وآلہ وسلم کے بعد سب سے افضل اعلیٰ ھیں اگر تو اپ یہ سمجھتے ھیں تو میں جواب کا منتظر رھوں گا 
کیوں کے گیلانی کی بہت زبردست چھترول کی ھے یسین قادری صاحب نے اللّٰہ انھے سلامت رکھے آمین یارب العالمین",offensive
عربی کا فرار اردو میں تشریف ہو گا ھھھھھھ,normal
احد میں فرار خندق میں فرار حنین میں فرار خیبر میں فرار,normal
علی ؑ کرار ہے غیر فرار ہے,normal
"فرار اور بھاگنا توہین ہے 

تشریف لے جانا کہو کیونکہ یہ افضلیت کی بات ہے",normal
"شاہ صاحب منطوق آیت سے شیخین کی فضیلت کیسے 
جہادی اور فراری میں کچھ تو فرق کرو
کتنا تضاد ہے شاہ صاحب ایک دفع جہاد کو افضلیت کا معیار قرار  دیتے ہے اور کبھی قرار نہیں دیتے",offensive
"یسین قادری انتہائی درجے کا بد اخلاق ، جاہل، بے دین اور غلیظ انسان ہے۔
اسکو قران شریف کی تلاوت کا سلیقہ بھی نہیں اتا۔ 
ترجمہ اور تشریح بھی غلط کر رہا ہے۔ اس طرح جلیل القدر صحابہ کرام رضوان اللہ علیہم اجمعین کی شان میں گستاخی بھی کر رہا ہے",offensive
پہلا پروگرام جس میں اویس ربانی کے چہرے کی ہوائیاں اور ہاتھوں کےطوطے اُڑے محسوس ہو رہے جب فرار والی حدیثیں کُھل کے بیان ہونا شروع ہوئیں۔ یاسین صاحب آپ صحیھ وکیلِ مولا علی ہیں۔ مخالفوں کے چہروں سے ثابت کروا دیا کہ کتنا وہ علی ع کے چاہنے والے ہیں۔,offensive
فرار کا لفظ ویسے زیادہ برا لگتا ہے,normal
وھابی کافر,hate
واعظ تنگ نظر نے مجھے کافر جانا ۔۔اور کافر یہ سمجھتا ہے کہ مسلمان ہوں میں۔,normal
"دل کر رہا ہے د والے کے تلے آجائے تم سب اور فرقوں کے فرقے ڈھوب جائیں ان کے تلوار تلے
فلا کافر ہے تو فلا کافر ہے",normal
ان عقل کے اندھو شکل کے گندو ں دیو کے بندوں تو کل بھی خبیث تھا اور ہمیشہ رہیگا,offensive
"دین کافر فکر و تدبیر جہاد
دین ملا فی سبیل اللہ فساد",hate
"یہ فیصلہ کرنے کے لئے اللہ رب العزت پھر کسی ہلاکو خان کو بھیج دیں گے
جب مسلمانوں نے کفار کو دعوت دینا چھوڑ دیا تو آپس میں ایک دوسرے کو کافر کہنا شروع کر دیا
وقالت الیہود ليست النصارى على شيء وقالت النصارى ليست اليهود ولا شيء وهم يتلون الكتاب  کا مصداق بن گۓ۔",normal
"کل بھی بریلوی مذہب تھا کافر 
آج بھی مذہب ھے کافر",hate
پوری دنیاء مسلمانو کو تباہ کرنے کا مناظرہ کررہے ہے اور یہ حضرات مسلمان کو کافربناء نے کا مناظرہ کررہے ہے,normal
خبیث واہابی,hate
جو قرآن کریم کو جھگڑا جیتنے کی نیت سے استعمال کرے وہ کافر ہے,offensive
"دنیا کے ہر فرقے نے ایک دوسرے کو کافر کہا 
ایک کافر تھا جس نے ہم سب کو مسلمان کہا",normal
"اللہ تعالیٰ ان کو جو خود اہل حدیث کہتے ہیں لیکن حدیثوں پر عمل نہیں کرتے ہدایت فرمائے اور اولیاء کرام کی عزت کرنا فرمائے اللہ تعالیٰ ان کو گفتگو کرنے کا طریقہ عطا فرمائے
یہ احمد رضا بریلوی کی تعلیمات پڑھے بغیر ہی ان پر نعوذ باللہ کافر کا فتویٰ لگا دیتے ہے اللہ تعالیٰ تمام مسلمان کو ہدایت نصیب فرمائے آمین ان لوگوں کو حق سمجھنے کی توفیق عطا فرمائے آمین",hate
"وقت کا ضیاء
مسلمان مسلمان سے بے مقصد بعث کررہے ہیں اور ساتھ ساتھ غلیظ باتیں بھی کررہے ہیں",normal
یہ قادیانیوں کو کافر کہتے ہیں  انکی اپنی حالت دیکھ لو,hate
اللہ اکبر ۔بہت دکھ ہوا آپ صلی اللہ علیہ وسلم کی امت کی یہ حالت دیکھ کر۔ایسی زبان شاید کافروں کے خلاف بھی نہیں سنی۔اللہ پاک امت مسلمہ کی حالت پے رحم فرمائے۔کافر مسلمانوں کو گاجر مولی کی طرح کاٹ کاٹ کے پھینک رہے ہیں اور ہم آپس میں دست گریباں ہیں,normal
اس طرح کی زبان کسی مسلمان کو نہیں بولنی چاہیے بہت افسوس کہ اہل علم والے حضرات کہہ رہے ہیں کہ ہم نے ادھا کلہ اندر کردیا ھے  کسی بھی کلمہ گو مسلمان کو کافر نہیں کہنا چاہیے اللہ تعالی کا فرمان ھے کہ تم نہیں جانتے کون غلط ھے یا سہی ھے,normal
کمال ہے کہ دونوں مسلمان ہے اور دونوں اک دوسرے کو کافر ثابت  کرنے پر  تلے ہوئے ہیں,normal
"حیرانگی اس بات پہ ہے کہ ہم چودہ سال گزرنے کے بعد بھی یہ فیصلہ نہیں کر سکے ہیں کہ کون مسلمان ہے کون کافر، اور اگر انہی جاہل لوگوں اسلام کے اندر اسی طرح کردار رہا تو آئندہ چودہ سو سال تک ہم اسی طرح ایک دوسرے کے ٹانگیں کھینچتے اور ایک دودرے کو کافر گراندتے رہیں، ان کی شکلیں دیکھ کر اندازہ ہوتا ہے کہ دونوں جہلا ہیں۔",normal
"یہ مسلمانوں کا آپس میں مناظرہ ہے یا کافروں کے ساتھ ؟
اس طرح کے علماء دوزخ میں جائینگے تو تفرقہ پھیلاتے ہیں",hate
یہ ھیں علما۶ دین  ان کے اخلاق اور  انداز گفتگو سے اندازہ لگاییں یہ ھم کو اخلاق رسول   سلامتی والے دین کے اصول سکھاتے ھیں   یہ سب ایک دوسرے کافر ثابت کر  رے ھیں اور کہے رہیے ھیں  یہ بات تسلیم کرنی پڑے گی دنیا واحد فرفہ شیعہ ھے جو کسی گلمہ گو کافر نہیں سمجھتا اور انداز گفتگو بھی علمانہ رکھتے ھیں,hate
کسی بھی مسلمان کو کافر کہنا گناہ,normal
"مسلمان ہی مسلمان کو کہتا ہے کافر
ایک کافر ہے جو سب کو مسلمان کہتا ہے",normal
تم سب کافر ھو کیونکہ تم سب اللہ اور اللہ کے رسول کے حکم کے منکر ھو,offensive
"تم ایک دوسرے کو کافر بنانے میں پری طاقت لگا رھے ھو
اور تمہارا دشمن تم سب کو ختم کرنے کی کوشش میں ھے
تم سب ایک دوسرے کو کافر کہتے ھو 
صرف تمہارہ دشمن ھی تمہیں مسلمان سمجھتا ھے",offensive
مجرموں کو کھلی چھٹی۔اپنوں کو کافر ومشرک۔ اللہ مولوی کو ہدایت دے۔,hate
سارے وہابی نجدی کافر ھیں,hate
آپ لوگ پاگل ہے اللہ تعالیٰ کے نبی نے فرمایا لوگو ں کو مسلمان بنایا کرتے تھے آپ لوگ آپس میں ایک دوسرے کو کافر قرار دیتے ہیں پاگلوں بند کرو اپنا ڈراما ۔,offensive
"یار حد کر دی انہوں نے دیں کا مزاق بنا کر رکھ دیا ہے ۔
کوئی مسجد کا احترام نہیں وہ اسکو کافر بول ریا ہے وہ اسکو ابلیس بول رہا ہے۔۔ یہی باتیں ادب اور احترام سے بھی تو ہو سکتی ہیں ۔
اللہ پوچھے گا ان سے",offensive
مولا کا قول ہے مونافق سے کافر اچھا ہے,normal
یہ اہل حدیث  نہیں  بلکہ مردود  خبیث  ہے,hate
افسوس صد افسوس یہ مسلمان کیا کر رھے ہیں کوئی کافر دیکھے تو ہنسے گا کہ یہ آپس میں ایک  دوسرے کو نیچا دکھا رھے ہیں,normal
"آؤ کھیلیں کافر کافر
میں بھی کافر تم بھی کافر",normal
"مسلمانوں کے صرف دو ہی فقرے ھے ایک سنی اور شیعہ
اور تمام ہی مسلمان ہے
کوئی کافر نہیں ھے",normal
سنی نے کہا وابی کافر وابی نے کہا سنی ایک کافر نے کہا ہمیں مسلمان,hate
اس فلم کا نام ہے ؟چلو کافر کافر کھیلیں  علماء فساد,hate
وہ علم جو صرف دوسرے کو نیچا دیکھانے اور کافر ثابت کرنے کے لیے حاصل کیا جائے وہ علم باعث رحمت  ہر گز نہی ھو سکتا۔۔۔,normal
ماشاللہ مسلمان ایک دوسرے کو کافر کہتے ہیں اور یہ علماء کرام زبان مبارک کو چیک کرو ۔ اللہ محفوظ کرے ہمیں اس فتنے سے۔,hate
"ایک کافر ہی ہے جس نے مسلمان کو مسلمان کہا 

اور ایک مسلمان ہیں جو ایک دوسرے کو کافر کہہ رہے ہیں",normal
"اللہ آپکو ھدایت دے آمین
میرے نبی علیہ وسلم کا ارشاد 
مسجدیں جھگڑے کی جگہ بن جائیں گی
شیعہ کافر ، بریلوی کافر، اہل حدیث کافر اور دیوبندی بھی کافر تو میرے لائق فائق بھائیوں جنت میں کون جائے گا جنت تو خالی رہی نا",normal
", اہل سنت والجماعت حق پر ہیں
اہل حدیث (اہل خبیث)
 گستاخ نبی 
گستاخ صحابہ
گستاخ اولیاء اللہ
گستاخ ائمئہ اربعہ ہے",hate
جو قران سناٸے وہ کافر اور جو کہانیاں سناٸے وہ مسلمان شرم ان کو مگر آتی نہیں مشرک,offensive
"ہم مسلمان فرقے ایک دوسرے کو کافر کہتے ہیں۔
ایک ھی کافر ہیں جو ہمیں مسلمان کہتے ہیں۔۔۔۔۔۔۔۔افسوس",normal
آپ کا جاہل پنا یہیں سے سا ثابت ہورہا ہے جواب سننے کا مادہ رکھو دنیا کےخبیث انسان,offensive
سب کا ایک جواب بریلی کا باپ احمد رضا  مادر چود ایکآٹھپانچپانچ میں پیدا لیا دیوبندی کا باپ اسرف علی تھانبی مادر چود ایکآٹھچارپانچ میں پیدا لیا وہابی کا باپ وہاب بن نزد مادر چود ایکساتصفرتین میں پیدا لیا بتا مادر چود توم لوگ سے پہلے کیا سب مسلمان کیا کافر تھا یا عیمان نہی تھا توم لوگ مسلمان کو گول گول گھوماو توم لوگ مادر چود یزید اور کادییانی اور انگریز کے اسلی اولاد ہو,hate
الحدیث۔حقیت۔میں۔خبیث ہے,hate
کچھ ایسے مولوی تحریک پاکستان کے وقت بھی تھے جو قائد اعظم کو کافر اعظم کہتے تھے,hate
ان شاء اللہ بابا جی علیہ الرحمہ کی ایک ایک بات سچ ثابت ہو گی اور دین کے دشمن دو نمبر  لوگ تباہ و برباد ہو رہے,offensive
برادرم یہ مرزا  انجئنیر قادیانی ہے اس کا مقصد مسلمانوں کو کافر کہنا ہے کیونکہ یہ مسلمان قادیانیوں کو کا کافر کہتے ہیں حقیقت میں یہ ان تمام مقدس ہستیوں کا گستاخ ہے جن کا مسلمانوں کے دلوں میں بڑا احترام ہے,hate
یہ بھی کافر ہے ان کی نسلیں بھی کافر ہے جیل میں مرزا سب سے بڑا کافر ہے,offensive
یہ کسی کو کیا کافر کہے گا یہ تو خود کافر ہے جو اللہ رسول کو نہیں مانتا وہ کافر ہی ہوتا ہے,offensive
گلی گلی میں پاپر ہے مرزا جہلمی کافر ہے,offensive
مرزا قادیانی کے بعد دوسرا غلیظ انسان مرزا جہلمی ہے  لیکن اسے اپنے  ابے قادیانی کی موت یاد رکھنی چاہیے جو نشان عبرت ہے عنقریب یہ بھی نشان عبرت ہوگا,hate
دنیا فانی دو نمبر بھائی پلیز پلیز پوری ویڈیو اپلوڈ کیا کرو اس طرح دو نمبری نہ لوگوں کے ساتھ کرو,offensive
مرزا انجینیئر خبیث ہے اس کو سننے والے بھی سارے خبیث ان پڑھ ہیں,offensive
خدا کی قسم کافروں کی باتیں سن کر خدا پر اور یقین پختہ اور مضبوط ہو جاتا ہے,normal
واجدی صاحب کے اس مناظرے سے قرآن کریم کی یہ ایت ذھن میں ایی ولن یجعل اللہ للکافرین علی المومنین سبیلا,normal
ماشاءاللہ واجدی صاحب اپنے بہت ہی خوبصورت چھترول کردی,normal
"إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنْذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ

جو لوگ کافر ہیں انہیں تم نصیحت کرو یا نہ کرو ان کے لیے برابر ہے۔ وہ ایمان نہیں لانے کے۔


خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ


خدا نے ان کے دلوں اور کانوں پر گویا مہر لگا دی ہے کہ نہ کچھ سنتے ہیں اور نہ سمجھتے ہیں اور آنکھوں پر بھی پردے پڑ گئے ہیں. ان کے واسطےآخرت میں عذابِ عظیم ہے۔",normal
"اللہ کو جاننے کے لے نا ماننا حلال ایتھسٹ ود لا الہ جیسے حضرت ابراھیم علیہ اسلام 

اللہ کو نہ جاننے کے لے نہ مانے تو کافر اور اللہ کا انکاری",offensive
دیکھئے یہ موٹا مولوی کس طرح مناظرے جیسے خبیث اور بے فایدہ عمل میں اپنی عمر عزیز کے قیمتی لمحات کو غارت کررہا ہے ! دیوبند کے بے فیض ادارے میں علم قرآن کے بجائے مردہ حنفیت اور مناظرہ بازی پر قوم کے وسائل خوب برباد کئے جاتے رہے ہیں ۔ فالی اللہ المشتکی ۔,hate
اچھا چھترول کیا ہے اس ملحد کو مزہ اور آخر میں لاجواب ہو گیا,offensive
وڈیو بنانے والا خبیث ترین انسان ھے میں شیعہ نہیں مگر امام بارگاہ میں مجالس اٹینڈ کرتا ہوں ایکنوچھچار-چھپانچ سے کبھی کوئی غیر اخلاقی حرکت نھیں دیکھی مگر اس وقت سے ھی کچھ خبیث لوگ انتھائی غلط الزامات اور تہمتیں لگاتے ہیں اللہ تعالیٰ ان کا بیڑا غرق کرے۔,normal
"کفر کبھی اسلام نہیں بن سکتا 
اہل تشیع کافر ہیں انکا اسلام سے کوٸی تعلق نہیں",hate
توں کوئی بہت خبیث انسان ایں,offensive
"تم سب نے مل کریعنی ساتدو کے ساتدو فرقوں نے مسلم جماعت احمدیہ کو کافر قرار دلوایا پاکستان میں ان پر ظلم جبر کیا  ابھی تو تمہاری اسمبلیوں اور فرقوں کی بربادی شروع ہوئی ہے ابھی تو بہت کچھ دیکھنے کو ملے گا اوریہ سب بربادی تم سرکاری مسلمان خود کرو گے ایک دوسرے کی میرا اللہ انصاف کرنے والا ہے،،،،،،،،  ایک بات تو اللہ نے کیسے پوری کی جو ساتدو فرقے احمدیوں کو کافر کہتے تھے اور ہیں وہ آج تمام ایک دوسرے کو کافر مرتد اور بدترین قرار دے رہے ہیں،،،،،،،، سبحان اللہ  اللہ و اکبر",hate
"جس طرح ایران کے اندر متعہ اور بے حیائی عروج پر ہے اسی طرح ان لوگوں نے پاکستان میں بھی  زنا کو عام کیا ہوا ہے اور رنگ متعہ کا دیا ہوا ہے خدا ان کو تباہ و برباد کرے یہ انتہائی غلیظ اور بے شرم لوگ ہیں.
اور حیرت کی بات ہے کہ  ان کی عورتیں پھر لباس ایسے پہن لیں گی باتیں ایسے کریں گی درس اور سبق ایسے دیں گی جیسے ان سے بڑی پاک بیبیاں نعوذباللہ استغفار دنیا میں نہیں",hate
شیعہ جیسا بھی ہو قادیانیوں سے ہزار گنا اچھے ہیں قادیانی قیامت تک کافر ہیں,hate
اللہ تعالیٰ تمہیں غرق کرے ایسے ویڈیوز بنانے پر خدا کی لنعت ھو تم لوگوں پر جو اس طرح خرافات بکواسات دکھاتے ھو,offensive
شیعہ کافر ہے رہے گا,hate
یہ کافر کے بچے مسلمان ہیں ہی نہیں تو گلہ کیسا؟,offensive
بھائی ان لوگوں کا یہی دنیا جنت ہے جیسے کافروں کے لئے ہے,offensive
کا فر کافر شیعہ کافر جو نہ مانے تو وہ بھی کافر,hate
اہل تشیع ہوتے ہی اس قابل ہیں کہ ان کو بدنام کیا جائے وہ صحابہ کے گستاخ ہیں اور جو صحابہ کا گستاخ ہے وہ کافر ہے جو پہلے ہی بدنام ہے اس سے مزید بدنام کرنے کی کیا ضرورت ہے,hate
خبیث کہیں کے تجھ میں کتنے عیوب ہیں کبھی غور کیا,offensive
تو بہت بڑا منافق ھے اور کافر منافق سے بہتر ھے,offensive
اؤ خبیث  تجھے علماء  ہی ملے ہیں,offensive
کیسا خبیث انسان ہے یار,offensive
کافر ہے قادیانی کافر ہے قادیانی,hate
قیامت کیوں نہیں آتی ان خبیث لوگوں کو سخت سزا ملنی چاہیے-,normal
اللہ پاک ان خبیث کے بچوں کو زلیل رسوا کرے اتنی معصوم سی بچی ہے اور اتنی مجبور یا اللہ اس کو انصاف دلا,normal
ایسے لوگ مسلمان نہیں مرتد یعنی کلمہ گو کافرہیں۔,offensive
اسلامی مسلمان معاشرہ  اندر سے انتہائ  ظالم   جابر بے رحم  اور گندھا  غلیظ معاشرہ  ہے۔ مسلمان  لوگ اپنے  ہی مسلمان لوگوں سے اتنا ظلم جبر کرتے ہیں  اگر ایک مسلمان کے ہاتھے کوئ کافر  چژ جائے  تو کیا حشر کرے گا؟؟؟  یہ بات سوچ کر ہی  ایک  نارمل انسان ادھ مر جاتا ہے,normal
بےحیائی ان جیسی غلیظ عورت کی توفیق وجہ سے پھیلتی ہے,hate
یہ لڑکی خود بے پردہ ہے ان کا ڈریس اسلامی نہیں ہے اور اگر بے پردہ رہے گی تو ریپ ان کے ہوگا نہیں,hate
"بھت آچھا جواب دیا اس خبیث عورت کو یہ اینکر خود آپنے جسم کی نمائش کرتی ہے بال کھلے اور دوپٹہ اتراہوا اسطرح کی عورتیں باہر نکلے گی اور مردوں کے ایمان خراب کرینگی یہ ہونا ہے باقی رہا سوال چھوٹی بچیوں کا یہ غلط ہے ایسا نہیں ہونا چاہیے
مگر تم جیسی خبیث عورتیں خود اپنے لباس اور اپنی بیٹیوں کے لباس اسطرح کے زیب تن کرتی ہیں معاشرا خراب کیا ہوا ہے مولانا صاحب آپ نے آچھا کیا آس کتیا کو ذلیل کیا بےشرم اینکر ہیں ساری کی ساری اینکر بے پردگی کے بغیر آن کو چینل میں کوئی نہیں پوچھے گا",hate
کیا اسلام میں عورتوں کو آزادی نہیں دی آج تم آزادی کی بات کرتی ہو دو نمبر عورت کو آج آزادی مانگ رہی ہے,hate
"میڈیا غلیظ اس کے مہمان بھی رزیل ۔۔۔
اگر ریٹنگ بڑھانی ہے تو خلیل الرحمان قمر صاحب کو لاؤ  لوگ ان کو سننا چا ہتے ہیں اس نمبر دو آنٹی کو نہیں ۔۔۔۔",hate
"Molvi sahab app say aik swal hay Quran ki chapter دوایک ayat number تینایک 

اَوَ لَمۡ یَرَ الَّذِیۡنَ کَفَرُوۡۤا اَنَّ السَّمٰوٰتِ وَ الۡاَرۡضَ کَانَتَا رَتۡقًا فَفَتَقۡنٰہُمَا ؕ وَ جَعَلۡنَا مِنَ الۡمَآءِ کُلَّ شَیۡءٍ حَیٍّ ؕ اَفَلَا یُؤۡمِنُوۡنَ 

اُردو
کیا انہوں نے دیکھا نہیں جنہوں نے کفر کیا کہ آسمان اور زمین دونوں مضبوطی سے بند تھے پھر ہم نے اُن کو پھاڑ کر الگ کر دیا اور ہم نے پانی سے ہر زند ہ چیز پیدا کی۔ تو کیا وہ ایمان نہیں لائیں گے؟ 

سوال یے ھے  وہ کون سے کافرتھے جو بگ بینگ کے وقت موجود تھے ؟",normal
"mufti sahib..
میرا تین سال کا بیٹا ہے جو اللہ پاک نے مجھے چودہ سال بعد عطا کیا... وہ تین سالہ بچہ کبھی بغیر پوچھے فریج سے پھل نکال کر کھا لیتا, کبھی امی کا بیگ ہاتھ لگ جائے تو اس کو ٹٹول لے گا, کبھی نلکیوں والے ڈبے سے نلکیوں کو بغیر پوچھے نکال کر کھیلنے لگ جائے گا اور دھاگے خراب کر دے گا, کبھی میرا بٹوہ ہاتھ لگ جائے تو اس کے سارے پیسے نکال کر اس سے کھیلے گا... سوال یہ ہے کہ کیا میں بھی تین سالہ بیٹے کی  چھترول کر سکتا ہوں بٹوہ سے پیسے نکالنے پر... ؟",normal
خبیث مشرق آپ کی اوقات ہے مرزا محمد علی صاحب کے سامنے,offensive
"آپ کا انداز بڑا گندا ہے ایسے بات کی جاتی ہے 
غلیظ اِنسان",offensive
چھوٹا مرزا قادیانی کے یار پر لنعت,hate
"ایک:دوسات:تینپانچ 
کتنی دلیری اور اطمئنان سے یہ بدعتی شرک پہیلانے والا بتا رہا ہے کہ یہ ٹرم وحدۃ الوجود صوفیہ استعمال کرتے تہے انجانے میں اس نے اپنے بابے کو کافر بنا دیا کیونکہ وحدۃ الوجود کفریہ عقیدۃ  ہے . اور انجیینئر صاحب آپ کو بہی توفیق نہیں ملی کے سب سے پہلے آپ وحدۃ الوجود کے بارے میں اس بدعتی کو جواب دیتے تا کے عوام کو بہی اس غلط عقیدے کے بارے میں پتا چلتا •",offensive
سر یہ سعد رضوی اور اس کے ہوارئ کبھی بھی آپ کے سامنے نیہں بیٹھیں گے ان خبیثوں کا علمی لیول ہی نیہں ہے!,offensive
"حنیف قریشی سرعام بایزید بسطامی کو اللہ کا جھنڈا پکڑا کر محمد ص کو اس کے پیچھے کر دے،اور آپ پھر بھی اسے کافر قرار دینے سے گھبرائیں ، اس کا مطلب بایزید آپ کے سامنے آ کر بھی یہ دعویٰ کرتا تو آپ پھر بھی اسے کافر قرار نہیں دیں گے ، ہمت کریں حنیف قریشی کو کافر کہیں ختم نبوت کے جعلی چمپئن",offensive
مرزئی اور اس کے ماننے والے مشرک کھوتی کے بچے ہی. توحید کے منکر ہیں  اور ختم نبوت کے بھی منکر ہین میرے ساتھ مرزئی کا مناظرہ کروا دیں کہ مرزئی اور اس کے ماننے والے کافر ہیں,offensive
میں تقریباً دو سال سے انجنیر سے بہت متاسر تھا۔ لیکن اُس کی باتیں جس میں وہ میں ہی میں مجھے گراں گزرتی تھی پھر دھیرے دھیرے صحابہ پہ تبرہ مجھے اچھا نہی لگتا تھا۔ حد تو تب ہو گئ جب اس خبیث نے حضرت عثمانؓ کے قتل کو اُن کی غلطی کا نتیجہ بتایا معاذ اللہ۔ دوسرا مالک بن اشتر کو ہیرو بنا کر پیش کیا مختار ثقفی کا دفاع کرنے لگا۔ کل ملا کر دھیرے دھیرے مرزا انجنیر کی رافضیت باہر آنے لگی اور میں نے اس کی ویڈیو دیکھنا چھوڑ دیا۔۔,offensive
پھر مولانا اشرف علی تھانوی صاحب کو کافر کہنے پر کون شور مچاتا ہے,normal
اگر دیوبندیوں اور بریلویوں نے اپنے بزرگوں کے نام کا کلمہ پڑھا ہے تو ان کو کافر کیوں نہیں کہتے کیونکہ کہ ختم نبوت صریح آیات اور متواتر احادیث صحیحہ سے ثابت ہے۔ اور اصول دین ہے کہ جو کافر کو کافر نہ کہے یا کافر کے کفر میں شک کرے وہ بھی کافر ہے۔۔۔۔۔۔ اتنی موٹی بات بھی اگر تم کو سمجھ نہیں آتی تو تم سے زیادہ احمق اور غبی انسان کوئی نہیں۔۔۔۔۔۔۔,offensive
"آقا کے سپاہی تھے، دین کے وہ داعی تھے
 مرزا جی علی معاویہ آپس میں بھائی بھائی تھے
دونوں میں لڑائی تھی اور نہ ہی تھا کوئی جھگڑا
دونوں نے مل کر کافروں کو خوب لگایا رگڑا",normal
"خدا تجھ ملعون سے ہر مسلمان کو محفوظ رکھے۔۔ آمین۔۔ 
تو عام مولوی سے ڈیبٹ نہیں کر سکتا۔ قادیانی کافروں سے کرے گا۔۔ جاہل",hate
ایک اور سوال ہے کہ آپ چشتی رسول اللہ اور تھانوی رسول اللہ والی پارٹیوں کو کافر کیوں نہیں سمجھتے؟ دوسروں کو کہتے ہیں کہ ان کو کافر قرار دو لیکن خود کہتے ہین کہ میں ان کو چندے بھی دیتا ہوں اور ان کے پیچھے نماز بھی پڑتا ہوں,hate
السلام علیکم علی بھائی یہ لوگ ب**** کرنے والے ہیں خبیث ہیں ان کو اپ چھوڑیں دفع کریں یہ لوگ ہے ہی ایسے ہیں یہ کس ماننے پہ بیٹھے ہیں اور کیسی ب**** کر رہے ہیں,offensive
"علماء اہلسنت کا منہ توڑ جواب، مرزا کی علمی چھترول
باطل وھابی دیوبندری قادیانی نجدی فرقے بالکل لاجواب
مرزے چوہے پہ کیمرے فِٹ، اب چھپنے کو سوراخ نہیں
خبردار! یہ اُسی سُوراخ میں جا چھپے گا جہاں سے نکلا",hate
